"station","latitude","longitude"
"15349099999",45.1436111,25.75
"82795099999",-7.269917,-35.896364
"74486094789",40.63915,-73.7639
"10321099999",52.585514,8.341014
"98755099999",8.3666666,126.3333333
"71895099999",52.9666666,-113.4333333
"99728099999",40.8,-73.77
"87750099999",-38.724967,-62.169317
"41178099999",24.75,50.8166666
"16436099999",37.5166666,13.0833333
"22768099999",62.1,42.9
"86185099999",-24.0666666,-57.0833333
"72566594073",41.18944,-103.67083
"30822099999",51.7166666,105.85
"68338099999",-26.982408,24.728756
"78783099999",9.356639,-79.867414
"72059300187",41.333,-86.667
"94332099999",-20.663889,139.488611
"71985099999",69.4333333,-133.0166666
"38927099999",37.286667,67.31
"6608099999",47.05,6.9833333
"72636404883",43.9625,-86.40778
"44266099999",46.3166667,93.9
"72221013858",30.48333,-86.51667
"42737099999",22.309183,70.779525
"25399099999",66.15,-169.8333333
"80440399999",8.6241,-71.672819
"72646654917",45.2275,-96.00722
"72639600422",39.05,-105.516
"841599999",NULL,NULL
"72224303738",34.89111,-79.75917
"8335099999",38.5166666,-5.1166666
"3002399999",60.833,-0.833
"2984099999",59.9333333,24.0166666
"28786099999",54.3666666,71.75
"2161099999",66.75,20.9333333
"86736099999",-16.2666666,-47.9666666
"72293193107",32.86667,-117.13333
"48112099999",9.9666666,98.5833333
"71905099999",45.6833333,-74.0333333
"91367099999",7.2666666,168.8333333
"71456099999",52.8166666,-104.6
"71193099999",48.55,-81.3833333
"32099099999",48.65,144.7333333
"3002099999",60.75,-0.85
"94919099999",-36.2333333,148.1333333
"99999903761",39.8593,-75.7861
"86636099999",-11.2,-40.4666666
"56651099999",26.8333333,100.2166667
"7150099999",48.969444,2.441389
"3956099999",52.2833333,-6.4833333
"14026099999",46.479861,15.686131
"95728099999",-31.3166666,149.2666666
"61461099999",17.5333333,-14.6833333
"72503814714",41.5,-74.1
"43221099999",15.5,80.0833333
"22361099999",66.7166666,42.4833333
"8223099999",40.370678,-3.785144
"2745099999",67.1666666,29.1833333
"27271099999",58.3666666,45.5333333
"24656099999",63.5166666,129.4833333
"47580044402",40.703222,141.368364
"41257099999",23.2544444,57.9275
"34720099999",47.2,38.9
"71871099999",53.309166,-110.0725
"72305563816",35.765,-80.95667
"82564099999",-5.531292,-47.46005
"72362093040",34.06667,-106.9
"72281703068",38.76667,-104.3
"42314099999",27.483853,95.016922
"2860099999",67.65,24.9
"72357003948",35.25,-97.46667
"38507099999",40.0333333,52.9833333
